Bandit,Reward,Algorithm
1,0,Thompson Sampling
2,1,Thompson Sampling
2,0,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
0,0,Thompson Sampling
1,0,Thompson Sampling
0,0,Thompson Sampling
0,0,Thompson Sampling
0,0,Thompson Sampling
3,1,Thompson Sampling
0,0,Thompson Sampling
3,0,Thompson Sampling
2,1,Thompson Sampling
2,1,Thompson Sampling
2,1,Thompson Sampling
2,1,Thompson Sampling
2,1,Thompson Sampling
2,0,Thompson Sampling
2,0,Thompson Sampling
2,1,Thompson Sampling
1,0,Thompson Sampling
2,0,Thompson Sampling
2,0,Thompson Sampling
2,0,Thompson Sampling
3,0,Thompson Sampling
2,1,Thompson Sampling
2,0,Thompson Sampling
2,1,Thompson Sampling
2,0,Thompson Sampling
3,1,Thompson Sampling
2,1,Thompson Sampling
2,0,Thompson Sampling
2,1,Thompson Sampling
2,1,Thompson Sampling
2,0,Thompson Sampling
2,0,Thompson Sampling
2,0,Thompson Sampling
2,0,Thompson Sampling
3,0,Thompson Sampling
2,0,Thompson Sampling
2,1,Thompson Sampling
3,1,Thompson Sampling
2,1,Thompson Sampling
2,1,Thompson Sampling
2,0,Thompson Sampling
3,1,Thompson Sampling
2,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
2,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
2,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
1,1,Thompson Sampling
1,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
1,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
2,1,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
2,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
1,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
2,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
2,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
2,0,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
0,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,1,Thompson Sampling
3,0,Thompson Sampling
